x,y,z
-7.578591,6.408308,0.0015
-7.567456,6.385479,0.0015
-7.533008,6.430541,0.0015
-7.521873,6.407712,0.0015
-7.669096,6.361484,0.0015
-7.657424,6.338925,0.0015
-7.623978,6.384829,0.0015
-7.612306,6.362269,0.0015
-7.759333,6.314795,0.0015
-7.747661,6.292236,0.0015
-7.714215,6.338139,0.0015
-7.702542,6.31558,0.0015
-7.844121,6.254523,0.0015
-7.826644,6.236092,0.0015
-7.807354,6.289386,0.0015
-7.789877,6.270955,0.0015
-7.916719,6.183112,0.0015
-7.898907,6.165005,0.0015
-7.880504,6.218737,0.0015
-7.862692,6.200629,0.0015
-7.989149,6.111864,0.0015
-7.971337,6.093756,0.0015
-7.952934,6.147488,0.0015
-7.935122,6.12938,0.0015
-8.05682,6.033871,0.0015
-8.036433,6.018721,0.0015
-8.026519,6.074645,0.0015
-8.006133,6.059495,0.0015
-8.117421,5.952323,0.0015
-8.097034,5.937173,0.0015
-8.087121,5.993097,0.0015
-8.066734,5.977947,0.0015
-8.178022,5.870775,0.0015
-8.157635,5.855625,0.0015
-8.147722,5.911549,0.0015
-8.127335,5.896399,0.0015
-8.235313,5.785674,0.0015
-8.213712,5.772311,0.0015
-8.208588,5.828876,0.0015
-8.186987,5.815513,0.0015
-8.288763,5.699269,0.0015
-8.267162,5.685907,0.0015
-8.262038,5.742472,0.0015
-8.240437,5.729109,0.0015
-8.342213,5.612865,0.0015
-8.320612,5.599503,0.0015
-8.315488,5.656067,0.0015
-8.293887,5.642705,0.0015
-8.392827,5.523903,0.0015
-8.370426,5.51193,0.0015
-8.368879,5.568705,0.0015
-8.346479,5.556731,0.0015
-8.440721,5.434301,0.0015
-8.41832,5.422327,0.0015
-8.416774,5.479102,0.0015
-8.394373,5.467128,0.0015
-8.488615,5.344698,0.0015
-8.466215,5.332724,0.0015
-8.464668,5.389499,0.0015
-8.442268,5.377525,0.0015
-8.533778,5.252958,0.0015
-8.51076,5.242217,0.0015
-8.512297,5.298992,0.0015
-8.48928,5.288252,0.0015
-8.57674,5.160888,0.0015
-8.553722,5.150147,0.0015
-8.555259,5.206923,0.0015
-8.532241,5.196182,0.0015
-8.619701,5.068818,0.0015
-8.596684,5.058078,0.0015
-8.598221,5.114853,0.0015
-8.575203,5.104112,0.0015
-8.660638,4.975339,0.0015
-8.637243,4.965449,0.0015
-8.640859,5.02213,0.0015
-8.617463,5.01224,0.0015
-8.700198,4.881757,0.0015
-8.676802,4.871867,0.0015
-8.680418,4.928548,0.0015
-8.657023,4.918658,0.0015
-8.739757,4.788175,0.0015
-8.716362,4.778285,0.0015
-8.719977,4.834966,0.0015
-8.696582,4.825076,0.0015
-8.777397,4.693377,0.0015
-8.753696,4.684243,0.0015
-8.759129,4.740779,0.0015
-8.735428,4.731645,0.0015
-8.813933,4.598574,0.0015
-8.790232,4.58944,0.0015
-8.795665,4.645976,0.0015
-8.771964,4.636842,0.0015
-8.850469,4.503771,0.0015
-8.826768,4.494637,0.0015
-8.832201,4.551172,0.0015
-8.8085,4.542038,0.0015
-8.884292,4.407418,0.0015
-8.860227,4.39929,0.0015
-8.868034,4.455547,0.0015
-8.84397,4.447418,0.0015
-8.916806,4.311162,0.0015
-8.892742,4.303033,0.0015
-8.900549,4.35929,0.0015
-8.876485,4.351161,0.0015
-8.94932,4.214905,0.0015
-8.925256,4.206776,0.0015
-8.933063,4.263033,0.0015
-8.908999,4.254905,0.0015
-8.978964,4.117192,0.0015
-8.954583,4.110068,0.0015
-8.964716,4.165953,0.0015
-8.940335,4.158829,0.0015
-9.00746,4.01967,0.0015
-8.983079,4.012546,0.0015
-8.993212,4.068431,0.0015
-8.968831,4.061307,0.0015
-9.035956,3.922148,0.0015
-9.011575,3.915024,0.0015
-9.021708,3.970909,0.0015
-8.997327,3.963785,0.0015
-9.062002,3.823517,0.0015
-9.037398,3.817206,0.0015
-9.049378,3.872724,0.0015
-9.024775,3.866412,0.0015
-9.087249,3.725104,0.0015
-9.062646,3.718792,0.0015
